2025-07-21 11:16:33.673 | INFO     | __main__:preprocess_dataset:68 - Starting data preprocessing
2025-07-21 11:16:33.673 | INFO     | __main__:preprocess_dataset:74 - Loading replies dataset
2025-07-21 11:18:04.574 | INFO     | __main__:preprocess_dataset:68 - Starting data preprocessing
2025-07-21 11:18:04.575 | INFO     | __main__:preprocess_dataset:74 - Loading replies dataset
2025-07-21 11:18:23.917 | INFO     | __main__:preprocess_dataset:68 - Starting data preprocessing
2025-07-21 11:18:23.917 | INFO     | __main__:preprocess_dataset:74 - Loading replies dataset
2025-07-21 11:18:58.843 | INFO     | __main__:preprocess_dataset:68 - Starting data preprocessing
2025-07-21 11:18:58.843 | INFO     | __main__:preprocess_dataset:74 - Loading replies dataset
2025-07-21 11:19:07.439 | INFO     | __main__:preprocess_dataset:82 - Found 310457 potential tech support replies
2025-07-21 11:19:07.484 | INFO     | __main__:preprocess_dataset:99 - Found 44 queries in chunk
2025-07-21 11:19:07.670 | DEBUG    | __main__:preprocess_dataset:120 - Added Q-A pair for tweet_id 205: Question: @microsofthelps hi having trouble making...
2025-07-21 11:19:07.696 | DEBUG    | __main__:preprocess_dataset:120 - Added Q-A pair for tweet_id 208: Question: @microsofthelps i need assistance recove...
2025-07-21 11:19:07.757 | DEBUG    | __main__:preprocess_dataset:120 - Added Q-A pair for tweet_id 250: Question: any help here @adobecare Answer: hi jaso...
2025-07-21 11:19:07.791 | DEBUG    | __main__:preprocess_dataset:120 - Added Q-A pair for tweet_id 279: Question: did u release an update today for lightr...
2025-07-21 11:19:07.809 | DEBUG    | __main__:preprocess_dataset:120 - Added Q-A pair for tweet_id 290: Question: so apparently the new version of has thi...
2025-07-21 11:19:07.830 | DEBUG    | __main__:preprocess_dataset:120 - Added Q-A pair for tweet_id 298: Question: @adobecare indesign 13.0 is exporting al...
2025-07-21 11:19:07.935 | DEBUG    | __main__:preprocess_dataset:120 - Added Q-A pair for tweet_id 634: Question: @amazonhelp why is my order at my local ...
2025-07-21 11:19:07.972 | DEBUG    | __main__:preprocess_dataset:120 - Added Q-A pair for tweet_id 643: Question: bought an echo show and it wo nt recogni...
2025-07-21 11:19:07.991 | DEBUG    | __main__:preprocess_dataset:120 - Added Q-A pair for tweet_id 646: Question: .@amazonhelp item has not been delivered...
2025-07-21 11:19:08.014 | DEBUG    | __main__:preprocess_dataset:120 - Added Q-A pair for tweet_id 652: Question: @amazonhelp is it possible to prevent am...
2025-07-21 11:19:08.041 | DEBUG    | __main__:preprocess_dataset:120 - Added Q-A pair for tweet_id 664: Question: @amazonhelp delivery i paid for today di...
2025-07-21 11:19:08.061 | DEBUG    | __main__:preprocess_dataset:120 - Added Q-A pair for tweet_id 690: Question: @amazonhelp order 36326936196346 you cou...
2025-07-21 11:19:08.079 | DEBUG    | __main__:preprocess_dataset:120 - Added Q-A pair for tweet_id 693: Question: @amazonhelp since when you stop giving 2...
2025-07-21 11:19:08.108 | DEBUG    | __main__:preprocess_dataset:120 - Added Q-A pair for tweet_id 714: Question: hey @applesupport and anyone else who up...
2025-07-21 11:19:08.142 | DEBUG    | __main__:preprocess_dataset:120 - Added Q-A pair for tweet_id 723: Question: @applesupport hello are all the lines cl...
2025-07-21 11:19:08.159 | DEBUG    | __main__:preprocess_dataset:120 - Added Q-A pair for tweet_id 730: Question: hello internet can someone explain why t...
2025-07-21 11:19:08.193 | DEBUG    | __main__:preprocess_dataset:120 - Added Q-A pair for tweet_id 733: Question: @applesupport i ve got a screenshot sayi...
2025-07-21 11:19:08.213 | DEBUG    | __main__:preprocess_dataset:120 - Added Q-A pair for tweet_id 736: Question: thank you @applesupport i updated my pho...
